normalized_section,primary_candidate_intent,rows,section_total,rate_within_section,is_known_section
abstract,unclear,3270,4602,0.7105606258148631,True
abstract,background,780,4602,0.1694915254237288,True
abstract,compares_against,217,4602,0.04715341156019122,True
abstract,uses,190,4602,0.041286397218600605,True
abstract,extends,84,4602,0.018252933507170794,True
abstract,critiques,40,4602,0.008691873098652759,True
abstract,applies,21,4602,0.0045632333767926985,True
analysis,unclear,5312,7526,0.7058198246080255,True
analysis,background,1474,7526,0.19585437151209142,True
analysis,uses,394,7526,0.05235184693064045,True
analysis,compares_against,243,7526,0.03228806803082647,True
analysis,critiques,68,7526,0.00903534414031358,True
analysis,applies,21,7526,0.0027903268668615466,True
analysis,extends,14,7526,0.0018602179112410311,True
background,background,16360,17069,0.9584627101763431,True
background,uses,298,17069,0.01745855058878669,True
background,compares_against,230,17069,0.013474720253090398,True
background,critiques,166,17069,0.009725232878317417,True
background,extends,12,17069,0.0007030288827699338,True
background,applies,3,17069,0.00017575722069248346,True
conclusion,background,15201,16322,0.931319691214312,True
conclusion,compares_against,596,16322,0.03651513294939346,True
conclusion,uses,286,16322,0.017522362455581423,True
conclusion,critiques,109,16322,0.006678103173630682,True
conclusion,extends,97,16322,0.005942899154515378,True
conclusion,applies,33,16322,0.0020218110525670875,True
discussion,unclear,8086,11045,0.7320959710276143,True
discussion,background,2228,11045,0.20172023540063377,True
discussion,compares_against,439,11045,0.03974649162516976,True
discussion,uses,148,11045,0.01339972838388411,True
discussion,critiques,135,11045,0.012222725215029425,True
discussion,extends,5,11045,0.0004526935264825713,True
discussion,applies,4,11045,0.00036215482118605704,True
error_analysis,unclear,649,929,0.6986006458557589,True
error_analysis,background,183,929,0.1969860064585576,True
error_analysis,compares_against,46,929,0.04951560818083961,True
error_analysis,uses,37,929,0.03982777179763186,True
error_analysis,critiques,11,929,0.011840688912809472,True
error_analysis,extends,2,929,0.002152852529601722,True
error_analysis,applies,1,929,0.001076426264800861,True
evaluation,unclear,16585,25972,0.638572308640074,True
evaluation,background,4922,25972,0.18951178191898968,True
evaluation,uses,3139,25972,0.12086092715231789,True
evaluation,compares_against,1011,25972,0.038926536269829046,True
evaluation,critiques,200,25972,0.007700600646850454,True
evaluation,applies,58,25972,0.0022331741875866317,True
evaluation,extends,57,25972,0.0021946711843523793,True
experiment,unclear,22973,39099,0.5875597841377017,True
experiment,uses,7821,39099,0.2000306913220287,True
experiment,background,5895,39099,0.150771119465971,True
experiment,compares_against,1968,39099,0.05033376812706207,True
experiment,applies,202,39099,0.005166372541497225,True
experiment,critiques,150,39099,0.003836415253587048,True
experiment,extends,90,39099,0.002301849152152229,True
introduction,background,327409,342737,0.955277661880684,True
introduction,compares_against,7232,342737,0.021100727379886036,True
introduction,critiques,3776,342737,0.011017193941710407,True
introduction,uses,3521,342737,0.01027318322795613,True
introduction,extends,516,342737,0.0015055275619498332,True
introduction,applies,283,342737,0.0008257060078135713,True
method,unclear,19373,28484,0.6801362168234798,True
method,background,5572,28484,0.19561859289425643,True
method,uses,2358,28484,0.0827833169498666,True
method,compares_against,839,28484,0.029455132706080606,True
method,critiques,134,28484,0.004704395450077236,True
method,extends,113,28484,0.003967139446706923,True
method,applies,95,28484,0.003335205729532369,True
model,unclear,27067,40179,0.6736603698449439,True
model,background,7197,40179,0.17912342268349138,True
model,uses,4119,40179,0.10251623982677519,True
model,compares_against,1344,40179,0.033450309863361456,True
model,extends,167,40179,0.004156400109509943,True
model,critiques,160,40179,0.003982179745638269,True
